Order,Level,Code,Parent,Description,Rulings,This item includes,This item also includes,This item excludes
508274,6,01.13.60,01.13.6,"Vegetable seeds, except beet seeds",,,,
508275,5,01.13.7,1.13,Sugar beet and sugar beet seeds,,,,
508276,6,01.13.71,01.13.7,Sugar beet,,,,
508277,6,01.13.72,01.13.7,Sugar beet seeds,,,,
508278,5,01.13.8,1.13,Mushrooms and truffles,,,,
508279,6,01.13.80,01.13.8,Mushrooms and truffles,,,,
508280,5,01.13.9,1.13,"Vegetables, fresh, n.e.c.",,,,
508281,6,01.13.90,01.13.9,"Vegetables, fresh, n.e.c.",,,,
508282,4,1.14,1.1,Sugar cane,,,,
508283,5,01.14.1,1.14,Sugar cane,,,,
508284,6,01.14.10,01.14.1,Sugar cane,,,,
508285,4,1.15,1.1,Unmanufactured tobacco,,,,
508286,5,01.15.1,1.15,Unmanufactured tobacco,,,,
508287,6,01.15.10,01.15.1,Unmanufactured tobacco,,,,
508288,4,1.16,1.1,Fibre crops,,,,
508289,5,01.16.1,1.16,Fibre crops,,,,
508290,6,01.16.11,01.16.1,"Cotton, whether or not ginned",,,,
508291,6,01.16.12,01.16.1,"Jute, kenaf and other textile bast fibres, raw or retted, except flax, true hemp and ramie",,,,
508292,6,01.16.19,01.16.1,"Flax, true hemp and raw fibre crops n.e.c.",,,,
508293,4,1.19,1.1,Other non-perennial crops,,,,
508294,5,01.19.1,1.19,Forage crops,,,,
508295,6,01.19.10,01.19.1,Forage crops,"This subcategory includes:
- swedes, mangolds, fodder roots, clover, alfalfa (lucerne), sainfoin, fodder maize and other grasses, forage kale and similar forage products","This subcategory excludes:
- pellets and meals of forage crops, see 10.91",,
508296,5,01.19.2,1.19,Cut flowers and flower buds; flower seeds,,,,
508297,6,01.19.21,01.19.2,Cut flowers and flower buds,,,,
508298,6,01.19.22,01.19.2,Flower seeds,,,,
508299,5,01.19.3,1.19,"Beet seeds, seeds for forage plants; other raw vegetable materials",,,,
508300,6,01.19.31,01.19.3,Beet seeds (excluding sugar beet seeds) and seeds for forage plants,,,,
508301,6,01.19.39,01.19.3,Raw vegetable materials n.e.c.,,,,
508302,3,1.2,1,Perennial crops,,,,
508303,4,1.21,1.2,Grapes,,,,
508304,5,01.21.1,1.21,Grapes,,,,
508305,6,01.21.11,01.21.1,Table grapes,,,,
508306,6,01.21.12,01.21.1,"Other grapes, fresh",,,,
508307,4,1.22,1.2,Tropical and subtropical fruits,,,,
508308,5,01.22.1,1.22,Tropical and subtropical fruits,,,,
508309,6,01.22.11,01.22.1,Avocados,,,,
508310,6,01.22.12,01.22.1,"Bananas, plantains and similar",,,,
508311,6,01.22.13,01.22.1,Dates,,,,
508312,6,01.22.14,01.22.1,Figs,,,,
508313,6,01.22.19,01.22.1,Other tropical and subtropical fruits,,,,
508314,4,1.23,1.2,Citrus fruits,,,,
508315,5,01.23.1,1.23,Citrus fruits,,,,
508316,6,01.23.11,01.23.1,Pomelo and grapefruits,,,,
508317,6,01.23.12,01.23.1,Lemons and limes,,,,
508318,6,01.23.13,01.23.1,Oranges,,,,
508319,6,01.23.14,01.23.1,"Tangerines, mandarins, clementines",,,,
508320,6,01.23.19,01.23.1,Other citrus fruits,,,,
508321,4,1.24,1.2,Pome fruits and stone fruits,,,,
508322,5,01.24.1,1.24,Apples,,,,
508323,6,01.24.10,01.24.1,Apples,,,,
508324,5,01.24.2,1.24,Other pome fruits and stone fruits,,,,
508325,6,01.24.21,01.24.2,Pears,,,,
508326,6,01.24.22,01.24.2,Quinces,,,,
508327,6,01.24.23,01.24.2,Apricots,,,,
508328,6,01.24.24,01.24.2,Cherries,,,,
508329,6,01.24.25,01.24.2,Peaches,,,,
508330,6,01.24.26,01.24.2,Nectarines,,,,
508331,6,01.24.27,01.24.2,Plums,,,,
508332,6,01.24.28,01.24.2,Sloes,,,,
508333,6,01.24.29,01.24.2,Other pome fruits and stone fruits n.e.c.,,,,
508334,4,1.25,1.2,Other tree and bush fruits and nuts,,,,
508335,5,01.25.1,1.25,Berries and the fruits of the genus vaccinium,,,,
508336,6,01.25.11,01.25.1,Kiwi fruit,,,,
508337,6,01.25.12,01.25.1,Raspberries,,,,
508338,6,01.25.13,01.25.1,Strawberries,,,,
508339,6,01.25.19,01.25.1,"Other berries, the fruits of the genus vaccinium n.e.c.","This subcategory includes:
- cranberry, blueberry, lingonberry, bilberry, huckleberry
- currant and gooseberries",,,
508340,5,01.25.2,1.25,Fruit seeds,,,,
508341,6,01.25.20,01.25.2,Fruit seeds,,,,
508342,5,01.25.3,1.25,"Nuts (excluding wild edible nuts, groundnuts and coconuts)",,,,
508343,6,01.25.31,01.25.3,Almonds,,,,
508344,6,01.25.32,01.25.3,Chestnuts,,,,
508345,6,01.25.33,01.25.3,Hazelnuts,,,,
508346,6,01.25.34,01.25.3,Pistachios,,,,
508347,6,01.25.35,01.25.3,Walnuts,,,,
508348,6,01.25.39,01.25.3,"Other nuts (excluding wild edible nuts, groundnuts and coconuts)",,,,
508349,5,01.25.9,1.25,Other tree and bush fruits n.e.c.,,,,
508350,6,01.25.90,01.25.9,Other tree and bush fruits n.e.c.,,,,
508351,4,1.26,1.2,Oleaginous fruits,,,,
508352,5,01.26.1,1.26,Olives,,,,
508353,6,01.26.11,01.26.1,Table olives,,,,
508354,6,01.26.12,01.26.1,Olives for production of olive oil,,,,
508355,5,01.26.2,1.26,Coconuts,,,,
508356,6,01.26.20,01.26.2,Coconuts,,,,
508357,5,01.26.9,1.26,Other oleaginous fruits,,,,
508358,6,01.26.90,01.26.9,Other oleaginous fruits,,,,
508359,4,1.27,1.2,Beverage crops,,,,
508360,5,01.27.1,1.27,Beverage crops,,,,
508361,6,01.27.11,01.27.1,"Coffee beans, not roasted",,,,
508362,6,01.27.12,01.27.1,Tea leaves,,,,
508363,6,01.27.13,01.27.1,Maté leaves,,,,
508364,6,01.27.14,01.27.1,Cocoa beans,,,,
508365,4,1.28,1.2,"Spices, aromatic, drug and pharmaceutical crops",,,,
508366,5,01.28.1,1.28,"Spices, not processed",,,,
508367,6,01.28.11,01.28.1,"Pepper (piper spp.), raw",,,,
508368,6,01.28.12,01.28.1,"Chillies and peppers, dry (capsicum spp.), raw",,,,
508369,6,01.28.13,01.28.1,"Nutmeg, mace and cardamoms, raw",,,,
508370,6,01.28.14,01.28.1,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,
508371,6,01.28.15,01.28.1,"Cinnamon (canella), raw",,,,
508372,6,01.28.16,01.28.1,"Cloves (whole stems), raw",,,,
508373,6,01.28.17,01.28.1,"Ginger, dry, raw",,,,
508374,6,01.28.18,01.28.1,"Vanilla, raw",,,,
508375,6,01.28.19,01.28.1,"Other spices, not processed",,,,
508376,5,01.28.2,1.28,Hop cones,,,,
508377,6,01.28.20,01.28.2,Hop cones,,,,
508378,5,01.28.3,1.28,"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",,,,
508379,6,01.28.30,01.28.3,"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",,,,
508380,4,1.29,1.2,Other perennial crops,,,,
508381,5,01.29.1,1.29,Natural rubber,,,,
508382,6,01.29.10,01.29.1,Natural rubber,,,,
508383,5,01.29.2,1.29,"Christmas trees, cut",,,,
508384,6,01.29.20,01.29.2,"Christmas trees, cut",,,,
508385,5,01.29.3,1.29,"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning",,,,
508386,6,01.29.30,01.29.3,"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning",,,,
508387,3,1.3,1,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,,
508388,4,1.3,1.3,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,,
508389,5,01.30.1,1.3,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,,
508390,6,01.30.10,01.30.1,"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn",,,,
508391,3,1.4,1,Live animals and animal products,,,,
508392,4,1.41,1.4,"Dairy cattle, live and raw milk from dairy cattle",,,,
508393,5,01.41.1,1.41,"Dairy cattle, live",,,,
508394,6,01.41.10,01.41.1,"Dairy cattle, live",,,,
508395,5,01.41.2,1.41,Raw milk from dairy cattle,,,,
508396,6,01.41.20,01.41.2,Raw milk from dairy cattle,,,,
508397,4,1.42,1.4,"Other cattle and buffaloes, live and their semen",,,,
508398,5,01.42.1,1.42,"Other cattle and buffaloes, live",,,,
508399,6,01.42.11,01.42.1,"Other cattle and buffaloes, except calves, live",,,,
508400,6,01.42.12,01.42.1,"Calves of cattle and buffalo, live",,,,
508401,5,01.42.2,1.42,Cattle and buffalo semen,,,,
508402,6,01.42.20,01.42.2,Cattle and buffalo semen,,,,
508403,4,1.43,1.4,"Horses and other equines, live",,,,
508404,5,01.43.1,1.43,"Horses and other equines, live",,,,
508405,6,01.43.10,01.43.1,"Horses and other equines, live",,,,
508406,4,1.44,1.4,"Camels and camelids, live",,,,
508407,5,01.44.1,1.44,"Camels and camelids, live",,,,
508408,6,01.44.10,01.44.1,"Camels and camelids, live",,,,
508409,4,1.45,1.4,"Sheep and goats, live; raw milk and shorn wool from sheep and goats",,,,
508410,5,01.45.1,1.45,"Sheep and goats, live",,,,
508411,6,01.45.11,01.45.1,"Sheep, live",,,,
508412,6,01.45.12,01.45.1,"Goats, live",,,,
508413,5,01.45.2,1.45,Raw milk from sheep and goats,,,,
508414,6,01.45.21,01.45.2,Raw milk from sheep,,,,
508415,6,01.45.22,01.45.2,Raw milk from goats,,,,
508416,5,01.45.3,1.45,"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool",,,,
508417,6,01.45.30,01.45.3,"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool",,,,
508418,4,1.46,1.4,"Swine, live",,,,
508419,5,01.46.1,1.46,"Swine, live",,,,
508420,6,01.46.10,01.46.1,"Swine, live",,,,
508421,4,1.47,1.4,"Poultry, live and eggs",,,,
508422,5,01.47.1,1.47,"Poultry, live",,,,
508423,6,01.47.11,01.47.1,"Chickens, live",,,,
508424,6,01.47.12,01.47.1,"Turkeys, live",,,,
508425,6,01.47.13,01.47.1,"Geese, live",,,,
508426,6,01.47.14,01.47.1,"Ducks and guinea fowls, live",,,,
508427,5,01.47.2,1.47,"Eggs, in shell, fresh",,,,
508428,6,01.47.21,01.47.2,"Hen eggs in shell, fresh",,,,
508429,6,01.47.22,01.47.2,"Eggs from other poultry in shell, fresh",,,,
508430,6,01.47.23,01.47.2,Eggs for hatching,,,,
508431,4,1.49,1.4,Other farmed animals and animal products,,,,
508432,5,01.49.1,1.49,"Other farmed animals, live",,,,
508433,6,01.49.11,01.49.1,"Domestic rabbits, live",,,,
508434,6,01.49.12,01.49.1,"Farmed birds n.e.c., live",,,,
508435,6,01.49.13,01.49.1,"Farmed reptiles (including snakes and turtles), live",,,,
508436,6,01.49.19,01.49.1,"Other farmed animals n.e.c., live","This subcategory includes: 
- reindeer
- fur animals (except rabbits)
- cats, dogs and other pet animals
- diverse farmed animals n.e.c.",,,
508437,5,01.49.2,1.49,Other farm animal products,,,,
508438,6,01.49.21,01.49.2,Natural honey,,,,
508439,6,01.49.22,01.49.2,Raw milk n.e.c.,,,,
508440,6,01.49.23,01.49.2,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",,,,
508441,6,01.49.24,01.49.2,Edible products of farm animal origin n.e.c.,,,,
508442,6,01.49.25,01.49.2,Silk-worm cocoons suitable for reeling,,,,
508443,6,01.49.26,01.49.2,"Insect waxes and spermaceti, whether or not refined or coloured",,,,
508444,6,01.49.27,01.49.2,Animal embryos for reproduction,,,,
508445,6,01.49.28,01.49.2,Non-edible products of farm animal origin n.e.c.,"This subcategory includes:
- fine or coarse animal hair, not carded or combed",,,
508446,5,01.49.3,1.49,Raw fur skins and miscellaneous raw hides and skins,,,,
508447,6,01.49.31,01.49.3,"Raw fur skins, except of fur-bearing lambs",,,,
508448,6,01.49.32,01.49.3,Raw fur skins of fur-bearing lambs,,,,
508449,6,01.49.39,01.49.3,"Raw skins of animals n.e.c. (fresh or preserved, but not further prepared)",,,,
508450,3,1.6,1,Agricultural and animal husbandry services (except veterinary services),,,,
508451,4,1.61,1.6,Support services to crop production,,,,
508452,5,01.61.1,1.61,Support services to crop production,,,,
508453,6,01.61.10,01.61.1,Support services to crop production,"This subcategory includes:
- preparation of fields
- planting, cultivation and fertilisation of crops
- crop spraying, including from the air
- pest control for agriculture
- trimming of fruit trees and vines
- transplanting and thinning of crops
- harvesting
- provision of agricultural machinery with crew and operators
- maintenance of agricultural land in good agricultural and ecological condition
- operation of irrigation systems for agricultural purposes","This subcategory excludes:
- water distribution services through mains, operation services of irrigation canals, see 36.00.20
- landscape architects services, see 71.11.4
- services provided by agronomists and agricultural economists, see 74.90.19
- other pest control services, see 81.29.11
- landscape services not related to agriculture, see 81.30.10
- organisation of agricultural shows and fairs, see 82.30.12",,
508454,4,1.62,1.6,Support services to animal production,,,,
508455,5,01.62.1,1.62,Support services to animal production,,,,
508456,6,01.62.10,01.62.1,Support services to animal production,"This subcategory includes:
- services promoting propagation, growth and output of animals
- herd testing services, droving services, agistment services, poultry caponising services, grading of eggs etc.
- sheep shearing services
- farm animals boarding and care services
- cleaning of agricultural premises (hen houses, piggeries, etc.)
- stud services
- services related to artificial insemination","This subcategory also includes:
- services of farriers","This subcategory excludes:
- provision of space for animal boarding only, see 68.20.12
- services provided by agronomists and agricultural economists, see 74.90.19
- vaccination of animals and other veterinary services, see 75.00.1
- recreational riding services, see 93.11.10
- pet animals boarding and care, see 96.09.11",
508457,4,1.63,1.6,Post-harvest crop services,,,,
508458,5,01.63.1,1.63,Post-harvest crop services,,,,
508459,6,01.63.10,01.63.1,Post-harvest crop services,"Agricultural products (Drying of…)

Problem statement: Drying is mentioned both in explanatory notes for agriculture and food manufacturing.

Solution: UN TSG decision for ISIC Rev.4, applicable also for NACE Rev. 2:
 
. NACE Rev. 2 class 01.63 (Post-harvest crop activities) includes drying activities where no manufacturing-type equipment is used, for example sun-drying of fruit and vegetables, air-drying of forage plants etc.
. Division 10 (Manufacture of food products) includes industrial drying activities (dehydration by artificial means), according to the product class: NACE Rev. 2 class 10.31 (Processing and preserving of potatoes) includes industrial dehydrating of potatoes, 10.39 (Other processing and preserving of fruit and vegetables) includes industrial dehydrating of other fruit and vegetables etc.

Decision date: 01.07.2007","This subcategory includes: 
- preparation services for primary markets, i.e. cleaning, trimming, grading, disinfecting, drying, shelling
- cotton ginning
- preparation services for tobacco leaves, e.g. drying
- preparation services for cocoa beans, e.g. peeling
- waxing of fruit","This subcategory excludes:
- preparation services of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- stemming and redrying services for tobacco, see 12.00.1
- marketing services of commission merchants and cooperative associations, see division 46
- wholesale services of agricultural raw materials, see 46.2",
508460,4,1.64,1.6,Seed processing services for propagation,,,,
508461,5,01.64.1,1.64,Seed processing services for propagation,,,,
508462,6,01.64.10,01.64.1,Seed processing services for propagation,"This subcategory includes: 
- services to improve the propagation quality of the seed, including treatment of genetically modified seeds:
  . removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds
  . removal of seed moisture to a safe level for seed storage
  . drying, cleaning, grading and treating of seeds until they are marketed","This subcategory excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing services for seeds to obtain oil, see 10.41
- research services to develop or modify new forms of seeds, see 72.11.13",,
508463,3,1.7,1,Hunting and trapping and related services,,,,
508464,4,1.7,1.7,Hunting and trapping and related services,,,,
508465,5,01.70.1,1.7,Hunting and trapping and related services,,,,
508466,6,01.70.10,01.70.1,Hunting and trapping and related services,"This subcategory includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities","This subcategory also includes:
- land-based catching of sea mammals such as walrus and seal","This subcategory excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.4
- raising of game animals on ranching operations, see 01.49.1
- catching of whales, see 03.00.69
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19.13
- service activities to promote hunting and trapping, see 94.99.19",
508467,2,2,A,"Products of forestry, logging and related services",,,,
508468,3,2.1,2,Forest trees and nursery services,,,,
508469,4,2.1,2.1,Forest trees and nursery services,,,,
508470,5,02.10.1,2.1,Live forest tree plants; forest tree seeds,,,,
508471,6,02.10.11,02.10.1,Live forest tree plants,,,,
508472,6,02.10.12,02.10.1,Forest tree seeds,,,,
508473,5,02.10.2,2.1,Forest trees nurseries services,,,,
508474,6,02.10.20,02.10.2,Forest trees nurseries services,"This subcategory excludes:
- Christmas tree nursery services, see 01.30.10",,,
508475,5,02.10.3,2.1,Forest trees,,,,
508476,6,02.10.30,02.10.3,Forest trees,,,,
508477,3,2.2,2,Wood in the rough,,,,
508478,4,2.2,2.2,Wood in the rough,,,,
508479,5,02.20.1,2.2,Wood in the rough,,,,
508480,6,02.20.11,02.20.1,Logs of coniferous wood,,,,
508481,6,02.20.12,02.20.1,"Logs of non-coniferous wood, except tropical wood",,,,
508482,6,02.20.13,02.20.1,Logs of tropical wood,,,,
508483,6,02.20.14,02.20.1,Fuel wood,,,,
508484,3,2.3,2,Wild growing non-wood products,,,,
508485,4,2.3,2.3,Wild growing non-wood products,,,,
508486,5,02.30.1,2.3,Natural gums,,,,
508487,6,02.30.11,02.30.1,"Balata, gutta-percha, guayula, chicle and similar natural gums",,,,
508488,6,02.30.12,02.30.1,"Lac, balsams and other natural gums and resins",,,,
508489,5,02.30.2,2.3,"Natural cork, raw or simply prepared",,,,
508490,6,02.30.20,02.30.2,"Natural cork, raw or simply prepared",,,,
508491,5,02.30.3,2.3,"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes",,,,
508492,6,02.30.30,02.30.3,"Parts of plants, grasses, mosses and lichens suitable for ornamental purposes",,,,
508493,5,02.30.4,2.3,Wild growing edible products,,,,
508494,6,02.30.40,02.30.4,Wild growing edible products,,,,
508495,3,2.4,2,Support services to forestry,,,,
508496,4,2.4,2.4,Support services to forestry,,,,
508497,5,02.40.1,2.4,Support services to forestry,,,,
508498,6,02.40.10,02.40.1,Support services to forestry,"This subcategory includes:
- forestry services:
  . forestry inventories
  . forest management consulting services
  . timber evaluation
  . forest fire fighting and protection
  . forest pest control
- logging services:
  . transport of logs within the forest
- provision of forestry machinery with crew and operators","This subcategory excludes:
- operation of forest tree nurseries, see 02.10.20
- draining of forestry land, see 43.12.11
- clearing of building sites, see 43.12.11",,
508499,2,3,A,Fish and other fishing products; aquaculture products; support services to fishing,,,,
508500,3,3,3,Fish and other fishing products; aquaculture products; support services to fishing,,,,
508501,4,3,3,Fish and other fishing products; aquaculture products; support services to fishing,,,,
508502,5,03.00.1,3,"Fish, live",,,,
508503,6,03.00.11,03.00.1,Live ornamental fish,,,,
508504,6,03.00.12,03.00.1,"Live fish, marine, not farmed",,,,
508505,6,03.00.13,03.00.1,"Live fish, freshwater, not farmed",,,,
508506,6,03.00.14,03.00.1,"Live fish, marine, farmed",,,,
508507,6,03.00.15,03.00.1,"Live fish, freshwater, farmed",,,,
508508,5,03.00.2,3,"Fish, fresh or chilled",,,,
508509,6,03.00.21,03.00.2,"Fresh or chilled fish, marine, not farmed",,,,
508510,6,03.00.22,03.00.2,"Fresh or chilled fish, freshwater, not farmed",,,,
508511,6,03.00.23,03.00.2,"Fresh or chilled fish, marine, farmed",,,,
508512,6,03.00.24,03.00.2,"Fresh or chilled fish, freshwater, farmed",,,,
508513,5,03.00.3,3,"Crustaceans, not frozen",,,,
508514,6,03.00.31,03.00.3,"Crustaceans, not frozen, not farmed",,,,
508515,6,03.00.32,03.00.3,"Crustaceans, not frozen, farmed",,,,
508516,5,03.00.4,3,"Molluscs and other aquatic invertebrates, live, fresh or chilled",,,,
508517,6,03.00.41,03.00.4,"Oysters, live, fresh or chilled, not farmed",,,,
508518,6,03.00.42,03.00.4,"Other molluscs and aquatic invertebrates, live, fresh or chilled, not farmed",,,,
508519,6,03.00.43,03.00.4,"Oysters, live, fresh or chilled, farmed",,,,
508520,6,03.00.44,03.00.4,"Other molluscs and aquatic invertebrates, live, fresh or chilled, farmed",,,,
508521,5,03.00.5,3,"Pearls, unworked",,,,
508522,6,03.00.51,03.00.5,"Natural pearls, unworked",,,,
508523,6,03.00.52,03.00.5,"Cultured pearls, unworked",,,,
508524,5,03.00.6,3,"Other aquatic plants, animals and their products",,,,
508525,6,03.00.61,03.00.6,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone",,,,
508526,6,03.00.62,03.00.6,Natural sponges of animal origin,,,,
508527,6,03.00.63,03.00.6,"Seaweeds and other algae, not farmed",,,,
508528,6,03.00.64,03.00.6,"Seaweeds and other algae, farmed",,,,
508529,6,03.00.69,03.00.6,"Other aquatic plants, animals and their products n.e.c.","This subcategory includes:
- farmed frogs
- whales",,,
508530,5,03.00.7,3,Support services to fishing and aquaculture,,,,
508531,6,03.00.71,03.00.7,Support services to fishing,,,,
508532,6,03.00.72,03.00.7,Support services to aquaculture,,,,
508533,1,B,MINING AND QUARRYING,,,,,
508534,2,5,B,Coal and lignite,,,,
508535,3,5.1,5,Hard coal,,,,
508536,4,5.1,5.1,Hard coal,,,,
508537,5,05.10.1,5.1,Hard coal,,,,
508538,6,05.10.10,05.10.1,Hard coal,"This subcategory excludes:
- briquettes, ovoids and similar solid fuels manufactured from coal, see 19.20.11",,,
508539,3,5.2,5,Lignite,,,,
508540,4,5.2,5.2,Lignite,,,,
508541,5,05.20.1,5.2,Lignite,,,,
508542,6,05.20.10,05.20.1,Lignite,"This subcategory excludes:
- briquettes, ovoids and similar solid fuels manufactured from lignite, see 19.20.12",,,
508543,2,6,B,Crude petroleum and natural gas,,,,
508544,3,6.1,6,Crude petroleum,,,,
508545,4,6.1,6.1,Crude petroleum,,,,
508546,5,06.10.1,6.1,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,
508547,6,06.10.10,06.10.1,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,
508548,5,06.10.2,6.1,Bituminous or oil shale and tar sands,,,,
508549,6,06.10.20,06.10.2,Bituminous or oil shale and tar sands,,,,
508550,3,6.2,6,"Natural gas, liquefied or in gaseous state",,,,
508551,4,6.2,6.2,"Natural gas, liquefied or in gaseous state",,,,
508552,5,06.20.1,6.2,"Natural gas, liquefied or in gaseous state",,,,
508553,6,06.20.10,06.20.1,"Natural gas, liquefied or in gaseous state",,,,
508554,2,7,B,Metal ores,,,,
508555,3,7.1,7,Iron ores,,,,
508556,4,7.1,7.1,Iron ores,,,,
508557,5,07.10.1,7.1,Iron ores,,,,
